"Name","Image","UPC-A","EAN-13","Amazon ASIN","Category","Brand","Model","Last Scanned","Store Name","Price","Currency"
"Telescope Casual World Famous Dining Height Director Chair, Red with Black Frame","https://images-na.ssl-images-amazon.com/images/I/41yvrXim3iL._SL150_.jpg","=""095746777712""","=""0095746777712""","=""B007H5I4OK""","=""Home & Kitchen » Home Improvement""","=""Telescope Casual""","=""70301C01""","=""Jul 08, 2019 14:23""","Amazon US","78.35","USD"
"MAXLAPTER Refractive Astronomy Telescope, HD High Magnification, Dual-Use, Suitable for Adults or Children Beginners, Portable, Equipped with Tripod, Smartphone Adapter","https://images-na.ssl-images-amazon.com/images/I/51IPqXfqb1L._SL150_.jpg","=""632096568678""","=""0632096568678""","=""B07G9WL6FH""","=""Electronics » Photography""","=""MAXLAPTER""","=""WR852-1""","=""Jul 13, 2019 02:38""","Amazon US","112.99","USD"
"Cell Phone Lens, 16X Zoom Telephoto Lens, Aluminium Alloy HD Phone Camera Lens for iPhone, Samsung, Android Smartphone, Monocular Telescope (Silver)","https://images-na.ssl-images-amazon.com/images/I/41Kx8snyrpL._SL150_.jpg","=""699990381970""","=""0699990381970""","=""B07L316C5K""","=""Cell Phones & Accessories » Photography""","=""QinCoon""","=""4351497908""","=""Jul 13, 2019 05:39""","Amazon US","29.99","USD"
"Monocular Telescopes, 12X50 High Night Vision Waterproof Spotting Scopes for Adults with Phone Clip and Tripod for Cell Phone-for Bird Watching,Hunting,Camping,Hiking,Outdoor,Surveillance","https://images-na.ssl-images-amazon.com/images/I/51JrJcEj7xL._SL150_.jpg","=""712885568185""","=""0712885568185""","=""B07BXHLDXF""","=""Sports & Outdoors » Beauty""","=""Acsin""","=""884660""","=""Jul 13, 2019 10:50""","Amazon US","check latest price",""
"Monocular Telescope, High Power Monocular Scope Waterproof Monoculars with Phone Clip and Tripod for Cell Phone","https://images-na.ssl-images-amazon.com/images/I/31ClJrnuA3L._SL150_.jpg","=""190835929062""","=""0190835929062""","=""B07JBW8W6K""","=""Beauty & Personal Care » Photography""","=""wingogh""","=""""","=""Jul 13, 2019 20:21""","Amazon US","check latest price",""
"Monocular Telescope, 40x60 High Power HD Compact Monocular for Adults Kids, Waterproof Low Night Vision Scope with Smartphone Holder & Phone Tripod & BAK4 Prism FMC for Bird Watching Hiking","https://images-na.ssl-images-amazon.com/images/I/51b39ywd6iL._SL150_.jpg","=""190835928904""","=""0746362505363""","=""B07RZR44TQ""","=""Electronics » Photography""","=""wingogh""","=""Monocular Telescope""","=""Jul 13, 2019 23:35""","Amazon US","25.99","USD"
"Camera Lens Kit,WMTGUBU 18X Zoom HD Clip On Optical Telescope Telephoto Lens+15X Super Macro Lens+0.6X Wide Angle Lens with Clip for All of Samsung Aondroid Phones(Black)","https://images-na.ssl-images-amazon.com/images/I/41avj72%2BTjL._SL150_.jpg","=""713965318492""","=""0713965171837""","=""B074V6RXKD""","=""Cell Phones & Accessories » Wireless""","=""WMTGUBU""","=""SKU: DN0034-Blackk""","=""Jul 15, 2019 03:04""","Amazon US","21.35","USD"
"PetSafe Solvit Mr. Herzher's Smart Ramp, Telescopes from 41.5 in. - 70 in, Portable Lightweight Dog and Cat Ramp.","https://images-na.ssl-images-amazon.com/images/I/5141IEkB6AL._SL150_.jpg","=""740023055532""","=""0701002637736""","=""B0014AOC68""","=""Pet Products""","=""PetSafe""","=""16220""","=""Jul 15, 2019 06:00""","Amazon US","124.95","USD"
"Celestron 114LCM Computerized Telescope (Black) with Mars Observing Telescope Accessory Kit/Deluxe kits and Eyepiece Filter","https://images-na.ssl-images-amazon.com/images/I/41Gr84GtCcL._SL150_.jpg","=""791836741655""","=""0791836741655""","=""B07FDGXRXW""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jul 17, 2019 09:23""","Amazon US","304.38","USD"
"Hampton Nautical Captain's Brass Spyglass Telescope with Rosewood Box, 15"", Brass","https://images-na.ssl-images-amazon.com/images/I/51ONUuqPlQL._SL150_.jpg","=""798813131096""","=""0798813131096""","=""B00GA1XCXK""","=""Toys & Games » Hobby""","=""Hampton Nautical""","=""FT-0224""","=""Jul 18, 2019 10:00""","Amazon US","34.99","USD"
"TwinStar AstroMark 50mm 75x Power Refractor Telescope","https://images-na.ssl-images-amazon.com/images/I/41UE7BsbonL._SL150_.jpg","=""184198006805""","=""0184198006805""","=""B001LT2TO4""","=""Toys & Games » Toy""","=""Twin Star""","=""615012Z""","=""Jul 24, 2019 11:29""","Amazon US","39.99","USD"
"Lunar Telescope for Kids - Explore the Moon and its Craters (2017 Release)","https://images-na.ssl-images-amazon.com/images/I/41%2BheEoAPoL._SL150_.jpg","=""816448022630""","=""0816448022630""","=""B0755DH7G9""","=""Toys & Games » Toy""","=""Discover with Dr. Cool""","=""LUNARSCOPE2""","=""Jul 27, 2019 01:00""","Amazon US","34.99","USD"
"RMS 5 Pack Telescoping Back Scratcher - Extendable Telescope Back Scratchers - Bear Claw Metal Telescopic Backscratcher Eliminating Back Itching in Black, Blue, Green, Purple, Red Color","https://images-na.ssl-images-amazon.com/images/I/41L6NRqVKtL._SL150_.jpg","=""811188022117""","=""0811188022117""","=""B079S885VX""","=""Health & Household » Health and Beauty""","=""RMS Royal Medical Solutions, Inc.""","=""""","=""Jul 30, 2019 01:07""","Amazon US","7.99","USD"
"UpBright 12 FT Long Cable Car 12V DC Adapter for Meade Instruments 547 607 LX10 LX50 LX90 GPS LX90LNT DS LX200 LX 200 R ACF ETX90/105/125 LXD75 New LT & Lightswitch Models Telescope 12VDC Auto Pow...","https://images-na.ssl-images-amazon.com/images/I/41UL3hPILvL._SL150_.jpg","=""662230369885""","=""0662230369885""","=""B010L13CNE""","=""Electronics » CE""","=""UPBRIGHT""","=""Meade Instruments 607 Car 12V DC Power""","=""Aug 04, 2019 09:03""","Amazon US","8.54","USD"
"Astrolon Telescope 525X","https://images-na.ssl-images-amazon.com/images/I/51jSfHOi4GL._SL150_.jpg","=""729983007683""","=""0729983007683""","=""B00I9NGB76""","=""Electronics » Photography""","=""Astrolon""","=""""","=""Aug 07, 2019 06:30""","Amazon US","check latest price",""
"20x50 High Power Military Binoculars, Compact HD Professional/Daily Waterproof Binoculars Telescope for Adults Bird Watching Travel Hunting Football-BAK4 Prism FMC Lens-with Case and Strap (20X50)","https://images-na.ssl-images-amazon.com/images/I/418KYd3OKqL._SL150_.jpg","=""727516984470""","=""0727516984470""","=""B07CQT7MW2""","=""Electronics » Photography""","=""RONHAN""","=""SG_B07CQT7MW2_US""","=""Aug 09, 2019 15:10""","Amazon US","55.55","USD"
"Phone Camera Lens Kit 12x Optical Zoom Universal Smartphone Telephoto Telescope Lens","https://images-na.ssl-images-amazon.com/images/I/415b93lxN-L._SL150_.jpg","=""727670828207""","=""0727670828207""","=""B01MSJME9U""","=""Cell Phones & Accessories » Wireless""","=""XSMNER""","=""XS-L12""","=""Aug 21, 2019 21:05""","Amazon US","10.99","USD"
"Edu-Science Land and Sky Telescope 90X Power with Table-Top Tripod - Blue","https://images-na.ssl-images-amazon.com/images/I/41KC7P4B3BL._SL150_.jpg","=""628535265680""","=""0628535265680""","=""B00029R6JM""","=""Electronics » Photography""","=""Telescope""","=""""","=""Aug 24, 2019 05:36""","Amazon US","69.99","USD"
"Carson HookUpz 2.0 Universal Smartphone Optics Digiscoping Adapter for Binoculars, Spotting Scopes, Telescopes, Microscopes, Monoculars and More (IS-200)","https://images-na.ssl-images-amazon.com/images/I/51AFO79jp1L._SL150_.jpg","=""750668011725""","=""4250138220207""","=""B01LCHLDWS""","=""Electronics » Personal Computer""","=""Carson""","=""IS-200""","=""Aug 28, 2019 09:26""","Amazon US","59.99","USD"
"HikeGeek 8x24 Compact Binoculars for Kids and Adults, Folding Spotting Telescope for Outdoor Sports Games and Concerts, Bird Watching, Camping and Sports Games, Best Gift for Boys, Girls","https://images-na.ssl-images-amazon.com/images/I/41ehcxJvEnL._SL150_.jpg","=""618611124222""","=""0618611124222""","=""B07FQBB32G""","=""Electronics » Beauty""","=""HikeGeek""","=""890267""","=""Sep 04, 2019 16:01""","Amazon US","check latest price",""
