"Name","Image","UPC-A","EAN-13","Amazon ASIN","Category","Brand","Model","Last Scanned","Store Name","Price","Currency"
"Sky & Telescope's Pocket Sky Atlas Jumbo Edition","https://images-na.ssl-images-amazon.com/images/I/51z84b%2BM5DL._SL150_.jpg","=""035313665615""","=""9781940038254""","=""1940038251""","=""Books » Book""","=""Sky & Telescope""","=""""","=""Jun 15, 2019 19:10""","Amazon US","35.01","USD"
"Educational Insights Geosafari Jr. My First Telescope Stem Toy for Kids","https://images-na.ssl-images-amazon.com/images/I/41CB1V3B%2BHL._SL150_.jpg","=""086002051097""","=""0086002051097""","=""B01AXAMLGW""","=""Toys & Games » Toy""","=""Educational Insights""","=""EI-5109""","=""Jun 16, 2019 05:30""","Amazon US","17.50","USD"
"ARICASA 10-Inch Window Wiper with Telescope Handle, Blue","https://images-na.ssl-images-amazon.com/images/I/312myYZwySL._SL150_.jpg","=""821128003137""","=""0821128003137""","=""B00PU0KTI8""","=""Health & Household » Home""","=""ARICASA""","=""313""","=""Jun 16, 2019 16:05""","Amazon US","10.96","USD"
"F.Dorla Universal Cellphone Telescope Adapter Mount, Compatible with Binocular Monocular Spotting Scope Microscope for iPhone Samsung Cellphone Support Eyepiece Diameter 25 to 48mm","https://images-na.ssl-images-amazon.com/images/I/511mk%2BklmyL._SL150_.jpg","=""707409936595""","=""0707409936595""","=""B077D8QHQX""","=""Electronics » Photography""","=""F.DORLA""","=""TPA-002""","=""Jun 16, 2019 19:33""","Amazon US","9.99","USD"
"Heavy German Working Model Sextant Marine Sea Collectible Nautical Telescope","https://images-na.ssl-images-amazon.com/images/I/515prBhy5vL._SL150_.jpg","=""791756474756""","=""0791756474756""","=""B019K44ICM""","=""Toys & Games » Personal Computer""","=""CollectiblesBuy""","=""BR 48490""","=""Jun 17, 2019 09:47""","Amazon US","check latest price",""
"Carson Red Planet 50-100x90mm Refractor Telescope For Astronomy (RP-400)","https://images-na.ssl-images-amazon.com/images/I/41p-5hPonYL._SL150_.jpg","=""750668009111""","=""0750668009111""","=""B004P1ITMQ""","=""Electronics » Photography""","=""Carson""","=""RP-400""","=""Jun 17, 2019 12:36""","Amazon US","235.76","USD"
"Black Twinstar 60mm Compact Kids Telescope","https://images-na.ssl-images-amazon.com/images/I/41j8usfBYDL._SL150_.jpg","=""737989561290""","=""0737989561290""","=""B00ZGMROKG""","=""Toys & Games » Toy""","=""Twin Star""","=""""","=""Jun 18, 2019 00:24""","Amazon US","44.99","USD"
"High Power Monocular Telescope 40x60 • Night Vision Zoom Scope Waterproof with Phone Clip and Tripod for Cell Phone-for Bird Watching, Hunting, Camping, Hiking, Outdoor, Surveillance","https://images-na.ssl-images-amazon.com/images/I/51H5GR6yqtL._SL150_.jpg","=""680577972421""","=""0680577972421""","=""B076PSGZKL""","=""Electronics » Photography""","=""KUAGEAR""","=""""","=""Jun 18, 2019 11:02""","Amazon US","check latest price",""
"Carson Red Planet 35-78x76mm Newtonian Reflector Telescope (RP-100)","https://images-na.ssl-images-amazon.com/images/I/415clGk5XFL._SL150_.jpg","=""750668009081""","=""0750668009081""","=""B004P1ITN0""","=""Electronics » Sports""","=""Carson""","=""RP-100""","=""Jun 18, 2019 11:04""","Amazon US","97.99","USD"
"MaxUSee Kids Telescope 400x40mm with Tripod & Finder Scope, Portable Telescope for Kids & Beginners, Travel Scope with Moon Mirror, Stars & Moon map Included","https://images-na.ssl-images-amazon.com/images/I/41SUSktZwVL._SL150_.jpg","=""611434207998""","=""0611434207998""","=""B071J5GBWY""","=""Toys & Games » Toy""","=""MaxUSee""","=""""","=""Jun 18, 2019 11:35""","Amazon US","37.99","USD"
"Orion StarBlast II 4.5 Equatorial Reflector Telescope","https://images-na.ssl-images-amazon.com/images/I/41geR02qr%2BL._SL150_.jpg","=""759270092504""","=""0759270092504""","=""B06XSM4R74""","=""Electronics » Photography""","=""Orion""","=""09250""","=""Jun 18, 2019 11:36""","Amazon US","199.99","USD"
"Telescope 70mm Apeture Travel Scope 400mm AZ Mount - Good Partner to View Moon and Planet - Good Travel Telescope with Backpack for Kids and Beginners","https://images-na.ssl-images-amazon.com/images/I/51F%2BFVMwE%2BL._SL150_.jpg","=""607994610941""","=""0607994610941""","=""B0759HRQCF""","=""Electronics » Photography""","=""SOLOMARK""","=""4331894047""","=""Jun 19, 2019 03:19""","Amazon US","89.99","USD"
"Gosky 20-60x60 HD Spotting Scope with Tripod, Carrying Bag and Scope Phone Adapter - BAK4 45 Degree Angled Eyepiece Telescope for Target Shooting Hunting Bird Watching Wildlife Scenery","https://images-na.ssl-images-amazon.com/images/I/51DJj62AcWL._SL150_.jpg","=""749029316487""","=""0749029316487""","=""B07CG54ZXH""","=""Sports & Outdoors » Photography""","=""Gosky""","=""SG_B07CG54ZXH_US""","=""Jun 19, 2019 19:04""","Amazon US","89.99","USD"
"Orion 10016 StarBlast 6 Astro Reflector Telescope","https://images-na.ssl-images-amazon.com/images/I/41TMol7lcQL._SL150_.jpg","=""759270099268""","=""0759270099268""","=""B00463ZK3O""","=""Electronics » Photography""","=""Orion""","=""10016""","=""Jun 19, 2019 19:18""","Amazon US","349.99","USD"
"EDU-TOYS Elenco My First 15X Telescope","https://images-na.ssl-images-amazon.com/images/I/51-xZEQejlL._SL150_.jpg","=""769188540059""","=""0769188540059""","=""B0714HYVY8""","=""Toys & Games » Toy""","=""EDU-TOYS""","=""EDU-JS005""","=""Jun 19, 2019 23:06""","Amazon US","21.84","USD"
"Gosky 12x50 ED Glass Monocular- Ultra HD Multi-Coated Waterproof Monocular Telescope-BAK4 Prism for Wildlife Bird Watching Hunting Camping Travelling Wildlife Secenery","https://images-na.ssl-images-amazon.com/images/I/21rwYwCRlaL._SL150_.jpg","=""711102626004""","=""0711102626004""","=""B07F8P4MFT""","=""Electronics » Photography""","=""Gosky""","=""Mon-1250ED""","=""Jun 20, 2019 05:07""","Amazon US","115.99","USD"
"Orion 10022 StarMax 90mm TableTop Maksutov-Cassegrain Telescope","https://images-na.ssl-images-amazon.com/images/I/41C1fxQ0xhL._SL150_.jpg","=""759270099091""","=""0759270099091""","=""B002JO06PO""","=""Electronics » Photography""","=""Orion""","=""10022""","=""Jun 20, 2019 07:22""","Amazon US","209.99","USD"
"Celestron PowerSeeker 127EQ Telescope w/ Accessory Kit","https://images-na.ssl-images-amazon.com/images/I/41s9ldc5-sL._SL150_.jpg","=""050234210492""","=""0050234210492""","=""B01N41EGO7""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 20, 2019 14:34""","Amazon US","161.65","USD"
"MAH 12'' Brass Ship Captain Telescope Leather Carving Bounded with Stamped Leather case. C-3092","https://images-na.ssl-images-amazon.com/images/I/41fuqzBt%2B1L._SL150_.jpg","=""712201660265""","=""0712201660265""","=""B00TPXE37O""","=""Home & Kitchen » Home""","=""MAH""","=""C-3092""","=""Jun 20, 2019 15:19""","Amazon US","84.95","USD"
"Secologo 8X Mini HD Corner Optical Monocular Telescope Eyepiece for Scientific Bird-watching Wilderness Expedition Outdoor Monocular","https://images-na.ssl-images-amazon.com/images/I/51FgHLYfCGL._SL150_.jpg","=""605621196592""","=""0605621196592""","=""B07D8QSX5T""","=""Toys & Games » Toy""","=""Secologo""","=""""","=""Jun 20, 2019 21:15""","Amazon US","check latest price",""
"Celestron NexStar 4 SE Telescope w/ Accessory Kit, Carrying Case, and AC Adapter","https://images-na.ssl-images-amazon.com/images/I/41kzFL14HcL._SL150_.jpg","=""050234110495""","=""0050234110495""","=""B01IEFJKBC""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 20, 2019 22:25""","Amazon US","737.03","USD"
